Name,Organization,Location
Alejandro Cabrera Aldaya Habanaa),,
Cuba),,
Billy Bob Brumley,"(Tampere University, Tampere, Finland)",
Sohaib ul Hassan,"(Tampere University, Tampere, Finland)",
Cesar Pereida García,"(Tampere University, Tampere, Finland)",
Nicola Tuveri,"(Tampere University, Tampere, Finland)",
Mengjia Yan,(University of Illinois at Urbana Champaign),
Read Sprabery,(University of Illinois at Urbana Champaign),
Bhargava Gopireddy,(University of Illinois at Urbana Champaign),
Christopher Fletcher,(University of Illinois at Urbana Champaign),
Roy Campbell,(University of Illinois at Urbana Champaign),
Josep Torrellas,(University of Illinois at Urbana Champaign),
Andrew Kwong,(University of Michigan),
Wenyuan Xu,(Zhejiang University),
Kevin Fu,(University of Michigan),
Dorothy Denning,(Naval Postgraduate School),
Deborah Frincke,(NSA/CSS Director of Research),
Richard Kemmerer,(UC Santa Barbara),
Peter Neumann,(SRI),
Giovanni Vigna,(UC Santa Barbara),
Elissa M. Redmiles,(University of Maryland),
Yujin Kwon,(KAIST),
Hyoungshick Kim,(Sungkyunkwan University),
Jinwoo Shin,(KAIST),
Yongdae Kim,(KAIST),
Kan Yuan,(Indiana University Bloomington),
Di Tang,(Chinese University of Hong Kong),
Xiaojing Liao,(Indiana University Bloomington),
XiaoFeng Wang,(Indiana University Bloomington),
Xuan Feng,(Indiana University Bloomington/Chinese Academy of Sciences),
Yi Chen,(Indiana University Bloomington/Chinese Academy of Sciences),
Menghan Sun,(Chinese University of Hong Kong),
Haoran Lu,(Indiana University Bloomington),
Kehuan Zhang,(Chinese University of Hong Kong),
Dave Tian,(University of Florida),
Grant Hernandez,(University of Florida),
Joseph Choi,(University of Florida),
Vanessa Frost,(University of Florida),
Peter Johnson,(Middlebury College),
Kevin Butler,(University of Florida),
Nathan Burow,(Purdue University),
Xinping Zhang,(Purdue University),
Mathias Payer,(EPFL),
Nolen Scaife,(University of Florida),
Jasmine Bowers,(University of Florida),
Christian Peeters,(University of Florida),
Grant Hernandez,(University of Florida),
Imani N. Sherman,(University of Florida),
Patrick Traynor,(University of Florida),
Lisa Anthony,(University of Florida),
Liang Wang,(UW Madison),
Gilad Asharov,(Cornell Tech),
Rafael Pass,(Cornell Tech),
Thomas Ristenpart,(Cornell Tech),
Abhi Shelat,(Northeastern University),
Evgenios Kornaropoulos,(Brown University),
Charalampos Papamanthou,(University of Maryland),
Roberto Tamassia,(Brown University),
Jack Doerner,(Northeastern University),
Yashvanth Kondi,(Northeastern University),
Eysa Lee,(Northeastern University),
abhi shelat,(Northeastern University),
Paul Grubbs,(Cornell University),
Marie-Sarah Lacharité,"(Royal Holloway, University of London)",
Brice Minaud,"(Ecole Normale Supérieure, CNRS, PSL University, Inria)",
Kenneth G. Paterson,"(Royal Holloway, University of London)",
Manu Drijvers,"(DFINITY, ETH Zurich)",
Kasra Edalatnejad,(EPFL),
Bryan Ford,(EPFL),
Eike Kiltz,(Ruhr-Universität Bochum),
Julian Loss,(Ruhr-Universität Bochum),
Gregory Neven,(DFINITY),
Igors Stepanovs,(UCSD),
Ivan Damgård,(Aarhus University),
Daniel Escudero,(Aarhus University),
Tore Frederiksen,(Alexandra Institute),
Marcel Keller,(Data61),
Peter Scholl,(Aarhus University),
Nikolaj Volgushev,(Alexandra Institute),
David Rupprecht,(Ruhr-University Bochum),
Katharina Kohls,(Ruhr-University Bochum),
Thorsten Holz,(Ruhr-University Bochum),
Christina Pöpper,(New York University Abu Dhabi),
Sadegh M. Milajerdi,(University of Illinois at Chicago),
Rigel Gjomemo,(University of Illinois at Chicago),
Birhanu Eshete,(University of Illinois at Chicago),
R. Sekar,(Stony Brook University),
Venkat Venkatakrishnan,(University of Illinois at Chicago),
Hongil Kim ,,
Jiho Lee ,,
Eunkyu Lee ,,
Yongdae Kim ,,
Muoi Tran,(National University of Singapore),
Min Suk Kang,(National University of Singapore),
Hsu-Chun Hsiao,(National Taiwan University),
Wei-Hsuan Chiang,(National Taiwan University),
Shu-Po Tung,(National Taiwan University),
Yu-Su Wang,(National Taiwan University),
Xianghang Mi,(Indiana University Bloomington),
Xuan Feng,(Indiana University Bloomington),
Xiaojing Liao,(Indiana University Bloomington),
Baojun Liu,(Tsinghua University),
XiaoFeng Wang,(Indiana University Bloomington),
Feng Qian,(Indiana University Bloomington),
Zhou Li,(IEEE member),
Sumayah Alrwais,(King Saud University),
Limin Sun,"(Institute of Information Engineering, CAS)",
Ying Liu,(Tsinghua University),
