Name,Organization,Location,Gender,Race
Giulia Fanti,(Carnegie Mellon University),,female,HL
Pramod Viswanath,(University of Illinois Urbana-Champaign),,male,A
Ruiyu Zhu,(Indiana University Bloomington),,female,A
Changchang Ding,(Indiana University Bloomington),,male,A
Yan Huang,(Indiana University Bloomington),,male,A
Thomas Haines,(Norwegian University of Science and Technology),,male,W_NL
Rajev Gore,(The Australian National University),,male,A
Mukesh Tiwari,(The Australian National University),,male,A
Simon Couch,(Reed College),,male,B_NL
Zeki Kazan,(Reed College),,male,A
Kaiyan Shi,(Reed College),,male,A
Andrew Bray,(Reed College),,male,W_NL
Adam Groce,(Reed College),,male,W_NL
Michael Schwarz,(Graz University of Technology),,male,W_NL
Moritz Lipp,(Graz University of Technology),,male,W_NL
Ahmad Moghimi,(Worcester Polytechnic Institute),,male,A
Jo Van Bulck,"(imec-DistriNet, KU Leuven)",,male,A
Julian Stecklina,(Cyberus Technology),,male,HL
Thomas Prescher,(Cyberus Technology),,male,W_NL
Daniel Gruss,(Graz University of Technology),,male,W_NL
Christoph Egger,(Friedrich-Alexander-Universität Erlangen-Nürnberg),,male,W_NL
Pedro Moreno-Sanchez,(TU Wien),,male,HL
Matteo Maffei,(TU Wien),,male,HL
Vitor Pereira,(INESC TEC & DCC FC Universidade do Porto),,male,HL
Karim Eldefrawy,(SRI International),,male,A
Vincent Cheval,(INRIA Nancy – Grand Est),,male,B_NL
Steve Kremer,(INRIA Nancy – Grand Est),,male,W_NL
Itsaka Rakotonirina,(INRIA Nancy – Grand Est),,female,A
Kurt Thomas,(Google),,male,W_NL
Theo Bertram,(Google),,male,W_NL
Elie Bursztein,(Google),,male,W_NL
Stephanie Caro,(Google),,female,HL
Hubert Chao,(Google),,male,A
Rutledge Chin Feman,(Google),,male,A
Peter Fleischer,(Google),,male,W_NL
Albin Gustafsson,(Google),,male,W_NL
Jess Hemerly,(Google),,male,W_NL
Chris Hibbert,(Google),,male,B_NL
Luca Invernizzi,(Google),,male,W_NL
Lanah Kammourieh Donnelly,(Google),,female,W_NL
Jason Ketover,(Google),,male,W_NL
Jay Laefer,(Google),,male,A
Paul Nicholas,(Google),,male,W_NL
Yuan Niu,(Google),,male,A
Harjinder Obhi,(Google),,male,A
David Price,(Google),,male,W_NL
Andrew Strait,(Google),,male,W_NL
Al Verney,(Google),,male,A
Claudio Canella,(Graz University of Technology),,male,HL
Daniel Genkin,(University of Michigan),,male,W_NL
Lukas Giner,(Graz University of Technology),,male,HL
Daniel Gruss,(Graz University of Technology),,male,W_NL
Moritz Lipp,(Graz University of Technology),,male,W_NL
Marina Minkin,(University of Michigan),,female,W_NL
Daniel Moghimi,(Worcester Polytechnic Institute),,male,W_NL
Frank Piessens,(KU Leuven),,male,W_NL
Michael Schwarz,(Graz University of Technology),,male,W_NL
Berk Sunar,(Worcester Polytechnic Institute),,male,A
Jo Van Bulck,(KU Leuven),,male,A
