Name,Organization,Location,Gender,Race
Manos Antonakakis,(Georgia Tech),,male,W_NL
Michalis Polychronakis,(Stony Brook University),,male,W_NL
Fabian Monrose,(UNC at Chapel Hill),,male,B_NL
Véronique Cortier,"(Loria &amp; CNRS, France)",,female,B_NL
David Galindo,"(University of Birmingham, UK)",,male,HL
Mathieu Turuani,"(Loria &amp; INRIA, France)",,male,A
Mario Werner,(Graz University of Technology),,male,HL
Thomas Unterluggauer,(Graz University of Technology),,male,W_NL
David Schaffenrath,(Graz University of Technology),,male,W_NL
Stefan Mangard,(Graz University of Technology),,male,W_NL
Martin Strohmeier,(University of Oxford),,male,W_NL
Matthew Smith,(University of Oxford),,male,W_NL
Vincent Lenders,(Armasuisse),,male,B_NL
Ivan Martinovic,(University of Oxford),,male,HL
Lucas Bang,(University of California Santa Barbara),,male,A
Nicolas Rosner,(University of California Santa Barbara),,male,W_NL
Tevfik Bultan,(University of California Santa Barbara),,male,A
Charles Wright,(Portland State University),,male,B_NL
Mayank Varia,(Boston University),,male,A
Takuya Watanabe,(NTT Secure Platform Laboratories),,female,A
Eitaro Shioji,(NTT Secure Platform Laboratories),,male,A
Mitsuaki Akiyama,(NTT Secure Platform Laboratories),,female,A
Keito Sasaoka,(Waseda University),,male,A
Takeshi Yagi,(NTT Secure Platform Laboratories),,male,A
Tatsuya Mori,(Waseda University),,female,A
Marjan Skrobot,(University of Luxembourg),,male,W_NL
Jean Lancrenon,(itrust consulting),,male,W_NL
Anupama Aggarwal,"(IIIT - Delhi, India)",,female,A
Saravana Kumar,"(CEG, Guindy, India)",,male,A
Bimal Viswanath,(UC Santa Barbara),,male,A
Liang Zhang,(Northeastern University),,male,A
Ayush Shah,"(IIIT - Delhi, India)",,male,A
Ponnurangam Kumaraguru,"(IIIT - Delhi, India)",,male,A
Enes Göktaş,(Vrije Universiteit Amsterdam),,male,HL
Benjamin Kollenda,(Ruhr-Universität Bochum),,male,W_NL
Philipp Koppe,(Ruhr-Universität Bochum),,male,W_NL
Erik Bosman,(Vrije Universiteit Amsterdam),,male,W_NL
Georgios Portokalidis,(Stevens Institute of Technology),,male,W_NL
Thorsten Holz,(Ruhr-Universität Bochum),,male,W_NL
Herbert Bos,(Vrije Universiteit Amsterdam),,male,W_NL
Cristiano Giuffrida,(Vrije Universiteit Amsterdam),,male,HL
Chen Chen,(CMU),,male,A
Daniele E. Asoni,(ETH Zurich),,female,HL
Adrian Perrig,(ETH Zurich),,male,HL
David Barrera,(Polytechnique Montréal),,male,HL
George Danezis,(UCL),,male,W_NL
Carmela Troncoso,(IMDEA Software Institute),,female,HL
Damian Poddebniak,(Münster University of Applied Sciences),,male,W_NL
Juraj Somorovsky,(Ruhr-University Bochum),,male,A
Sebastian Schinzel,(Münster University of Applied Sciences),,male,W_NL
Manfred Lochter,(Federal Office for Information Security),,male,W_NL
Paul Rösler,(Ruhr-University Bochum),,male,W_NL
Pascal Berrang,"(CISPA, Saarland University)",,male,A
Mathias Humbert,"(Swiss Data Science Center, ETH/EPFL)",,male,W_NL
Yang Zhang,"(CISPA, Saarland University)",,male,A
Irina Lehmann,"(Helmholtz Centre for Environmental Research Leipzig, UFZ, Leipzig)",,female,W_NL
Roland Eils &amp; University of Heidelberg),,,,
Michael Backes,"(CISPA, Saarland University)",,male,W_NL
Joppe Bos,(NXP),,male,W_NL
Leo Ducas,(CWI),,male,B_NL
Eike Kiltz,(Ruhr-University Bochum),,male,W_NL
Tancrede Lepoint,(SRI),,male,B_NL
Vadim Lybashevsky,(IBM Research),,male,W_NL
John M. Schanck,(University of Waterloo),,male,W_NL
Peter Schwabe,(Radboud University),,male,W_NL
Damien Stehle,(Universite de Lyon),,male,W_NL
Teemu Rytilahti,"(Horst Görtz Institute for IT-Security, Ruhr University Bochum)",,male,A
Dennis Tatang,"(Horst Görtz Institute for IT-Security, Ruhr University Bochum)",,male,A
Janosch Köpper,"(Horst Görtz Institute for IT-Security, Ruhr University Bochum)",,male,W_NL
Thorsten Holz,"(Horst Görtz Institute for IT-Security, Ruhr University Bochum)",,male,W_NL
Jon Stephens,(The University of Arizona),,male,W_NL
Babak Yadegari,(The University of Arizona),,male,A
Christian Collberg,(The University of Arizona),,male,W_NL
